"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingomonadales","Micrococcales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Sphingobacteriales","Thermales","Coriobacteriales","Opitutales","Bifidobacteriales","Chloroflexales","Actinomycetales","Caulobacterales","Rhizobiales","Spirochaetales","Acidimicrobiales","Pseudonocardiales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Nitrospirales","Mollicutes_RF9","Caldilineales","Planctomycetales","WCHA1_57(class)","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Synergistales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Neisseriales","Unknown_Order","Chloroplast(class)","Xanthomonadales","Frankiales","Gitt_GS_136(class)","Campylobacterales","Pasteurellales","NB1_j","Enterobacteriales","Myxococcales","Methylophilales","Cytophagales","Oligosphaerales","KD4_96(class)","Verrucomicrobiales","Aeromonadales","Cellvibrionales","UA11(class)","Lineage_IIb","Lineage_IIc"
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0009644234890698671,0.0,0.0,0.0003750535790827261,0.0,0.0003214744963566224,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0009108444063437634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.0036028617015801123,0.623552421637758,0.32734572031499304,0.0,0.00030881671727829536,5.146945287971589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0026764115497452264,0.005249884193731021,0.02954346595295692,0.0005146945287971588,0.0011323279633537494,0.0002573472643985794,0.0,0.0005146945287971588,0.0,5.146945287971589e-05,0.0,0.0006691028874363066,0.0,0.0,0.0,0.0,0.0,0.0,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.0013382057748726132,0.0,0.0009779196047146018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.203445447087777e-05,0.5054552912223134,0.4126743232157506,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0064807219031993435,0.014602132895816243,0.013412633305988516,0.0009433962264150943,0.001435602953240361,0.0,0.0,0.0002871205906480722,0.0,0.0005742411812961444,0.0,0.00012305168170631667,0.0,0.0,0.0,0.0,0.0,0.0,0.007916324856439705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004922067268252667,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.00012305168170631667,0.031214109926168992,0.0,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.050505486909185174,0.28596733776894495,0.6090901235634667,0.0,0.0002592240559923961,0.0,0.0,0.0,0.0,4.320400933206602e-05,0.00012961202799619806,0.0,0.0003888360839885941,0.03957487254817247,0.0016849563639505746,0.00012961202799619806,0.0023330165039315647,0.0,0.0,0.00017281603732826408,0.0,0.00012961202799619806,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.320400933206602e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0014257323079581786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008098403239361295,0.28107571243028495,0.1649476659790664,0.0,0.0,0.0005730002292000917,0.0,0.0,0.0,3.8200015280006115e-05,0.0,0.0,0.0045458018183207275,0.001031400412560165,0.0004966001986400795,0.0005730002292000917,0.005386202154480862,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.00026740010696004276,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038200015280006114,0.0,0.0,0.0,0.0,0.0,0.00019100007640003057,0.002406600962640385,0.0,0.5293376117350447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.0001833583923136162,0.03307785397337636,0.6483552752209468,0.24988081704499615,0.0,0.0,0.0009167919615680809,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.00022003007077633943,0.0012835087461953133,0.005757453518647549,0.0065642304448274595,3.667167846272324e-05,0.02853056584399868,3.667167846272324e-05,3.667167846272324e-05,0.0004767318200154021,0.0,0.00022003007077633943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011001503538816971,0.002090285672375225,0.0,0.013898566137372108,0.0,0.0,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.0,0.0
"X206733",0.0,0.010560330468385636,0.22503164767805983,0.7124392031447798,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.00029982010793523883,0.002565127590112599,0.0004997001798920647,6.66266906522753e-05,0.004897061762942235,0.0,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018655473382637084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04077553467919248,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0
"X206750",7.163836951070993e-05,0.0003581918475535497,0.39623182176373667,0.5271151228598037,0.0001074575542660649,0.0003581918475535497,0.00028655347804283973,0.0,0.0,0.0,0.0,0.0,0.0004298302170642596,0.0061967189626764094,0.028297155956730425,0.003331184182248012,0.0006089261408410344,3.581918475535497e-05,3.581918475535497e-05,0.0,0.0003581918475535497,0.0,3.581918475535497e-05,0.0,0.0003940110323089047,0.0,0.0,0.0,0.0,3.581918475535497e-05,0.0,0.016226090694175802,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.0,7.163836951070993e-05,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,0.0,0.0,0.004190844616376531,0.0,0.014936600042983021,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,0.0,0.0,0.0,0.0,0.0
"X206756",8.512811781731506e-05,0.08810760194092108,0.34259811015578445,0.5057461479526688,0.0,0.0,0.00012769217672597258,0.0,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0018302545330722737,0.01600408614965523,0.005703583893760109,0.00012769217672597258,0.00021282029454328764,0.0,0.0,0.00025538435345194517,0.0,0.00012769217672597258,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.020728696688516218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003107176300332,0.0,0.004298969949774411,0.0,0.0,0.0,0.0,0.0,0.010683578786073039,0.0,0.0,0.0,0.0,0.0
"X206766",0.0,0.0006694280574034559,0.3750052299066985,0.5490565248315971,0.0,0.000125517760763148,0.00016735701435086398,0.0,0.0,0.0,0.0,0.0,0.0,0.0011714991004560479,0.02225848290866491,0.0021338019329735156,0.000125517760763148,0.01556420233463035,0.0,0.0,8.367850717543199e-05,0.0,0.0007531065645788879,0.0,0.0,0.0,8.367850717543199e-05,0.0,0.0,0.0,0.0,0.0029287477511401195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,0.0,0.005188067444876783,0.0,0.020710430525919418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05,0.0
"X206768",0.0,0.0049172999552972736,0.02682163611980331,0.010728654447921324,0.0004470272686633885,0.000894054537326777,0.012963790791238265,0.0,0.0,0.0,0.016092981671881983,0.0,0.004470272686633884,0.17702279839070184,0.0031291908806437194,0.0013410818059901655,0.04336164506034868,0.0116227089852481,0.012516763522574878,0.0,0.0,0.0,0.0,0.0,0.02011622708985248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001788109074653554,0.0,0.0,0.0,0.004470272686633884,0.0,0.00581135449262405,0.0,0.0,0.0,0.0,0.0,0.001788109074653554,0.0,0.003576218149307108,0.0049172999552972736,0.001788109074653554,0.005364327223960662,0.0,0.0,0.0,0.6079570853822083,0.0,0.008493518104604381,0.0031291908806437194,0.004470272686633884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224327",0.0,0.03565520243796256,0.3550282977797127,0.4570744449281672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7070091423596e-05,0.00021767522855898998,0.0015237265999129299,0.013931214627775359,8.7070091423596e-05,0.0,0.0,0.0,8.7070091423596e-05,0.0,0.010317805833696125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001393121462777536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009490639965171964,0.0,0.11497605572485851,0.0,0.0,0.0,0.0,0.0,0.000130605137135394,0.0,0.0,0.0,0.0,0.0
"X206534",0.0,0.13203541655879458,0.18593693367162015,0.4743437063118107,0.0,0.0007249003262051468,0.00041422875783151243,0.0,0.0,0.0,0.0002588929736446953,0.0,0.0015015792471392325,0.011028840677264019,0.01315176306115052,0.007249003262051468,0.0007249003262051468,0.024284160927872417,0.0,0.0,0.00274426552063377,0.0,0.006627660125304199,0.0,0.00020711437891575622,0.0,0.0,0.0005695645420183296,0.0,0.0,0.0,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002951379899549526,0.0,0.0,0.0,0.0,0.0,0.00020711437891575622,0.02578574017501165,0.0,0.10428208978408327,0.0,0.0,0.0,0.0,0.0,0.00015533578418681717,0.0,0.0,0.0,0.0,0.0
"X206547",0.014644351464435146,0.0002615062761506276,0.4350592747559275,0.00950139470013947,0.0,0.0007845188284518828,0.0005230125523012552,0.0,0.0,0.0,0.0,0.0,0.0011331938633193863,0.06511506276150628,0.043235704323570434,0.011680613668061366,0.00017433751743375174,0.004968619246861925,0.0,0.0,0.00017433751743375174,0.0,0.0,0.0,0.002004881450488145,0.0,0.0002615062761506276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032252440725244074,0.06380753138075314,0.0,0.34344490934449096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.062243341546403846,0.05004106535257538,0.5114982987211076,0.208611991082952,0.00017599436818021823,5.8664789393406076e-05,0.0025225859439164614,0.00035198873636043646,0.0006453126833274669,0.00041065352575384256,0.0005866478939340608,0.0,0.005338495834799953,0.022351284758887716,0.008037076146896633,0.00463451836207908,0.0018772732605889944,0.0004693183151472486,0.0,0.0,0.00035198873636043646,0.0,0.00011732957878681215,0.0018186084711955884,0.00017599436818021823,0.020884665024052562,0.004986507098439516,0.0,0.0011732957878681216,0.0,0.0005866478939340608,0.04569987093746333,0.0016426141030153702,0.0,0.0,0.0002933239469670304,0.0045758535726856744,0.0,0.0008799718409010912,0.0,0.0005866478939340608,0.0,0.00041065352575384256,0.0,0.003695881731784583,0.0,0.0,0.0,0.0,0.0,0.00299190425906371,0.0002933239469670304,0.00011732957878681215,0.0,0.009797019828698815,0.00011732957878681215,0.0007039774727208729,0.0,0.0,0.01525284524228558,0.0,0.0002346591575736243,0.0009973014196879033,0.0,0.0012906253666549337,0.0004693183151472486,0.0,0.0
"X206569",0.1944513457556936,0.005921325051759834,0.28182194616977224,0.3130848861283644,0.0,4.1407867494824014e-05,4.1407867494824014e-05,0.0,0.0,0.0,0.0,0.0,0.0002898550724637681,0.0014906832298136647,0.010559006211180125,0.00037267080745341616,0.0002484472049689441,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.00020703933747412008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022111801242236023,0.008985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.0,0.0,0.00016563146997929605,0.0,0.0,0.0,4.1407867494824014e-05,0.0,0.00012422360248447205,0.002070393374741201,0.0,4.1407867494824014e-05,0.0,0.0,0.0,0.0,0.0,0.15768115942028985,0.0,0.0,0.0,0.0,0.0
"X206604",0.0,0.19225647854143194,0.41349994878623375,0.2624193383181399,0.0,0.00850148519922155,0.0020485506504148315,0.0,0.0,0.0,0.0010242753252074157,0.0,0.0,0.0029703984431015055,0.009116050394346,0.011267028577281573,0.007272354808972652,0.0,0.00010242753252074157,0.0,0.0005121376626037079,0.0,0.0009218477926866742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012701014032571956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006145651951244494,0.0,0.0,0.0,0.0005121376626037079,0.000716992727645191,0.0,0.0,0.0,0.0,0.0012291303902488989,0.0,0.0,0.0,0.0,0.0017412680528526069,0.0,0.06657789613848203,0.0,0.0,0.00010242753252074157,0.00020485506504148315,0.0,0.0036873911707466967,0.0,0.0,0.0,0.0,0.0
"X206608",0.0,0.02469310004233103,0.3919853252434034,0.5256808240440243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055171440666009e-05,0.0009877240016932412,0.003386482291519684,0.007478481727105969,0.0,0.0,0.0,0.0,0.00028220685762664035,0.0006349654296599407,0.0,0.0,0.00021165514321998025,0.0,0.0,0.0,0.0,0.0,0.0,0.030548892338083816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055171440666009e-05,0.0,0.0,0.0,0.0050797234372795255,0.0,0.006561309439819388,0.0,0.0,0.0,0.0,0.0,0.0023282065754197828,0.0,0.0,0.0,0.0,0.0
"X215084",0.0,0.04305442729488221,0.3200649878147847,0.5285134037367993,0.0,0.0,0.01007311129163282,0.0,0.0,0.0,0.0,0.0,0.0003249390739236393,0.002274573517465475,0.022745735174654752,0.00926076360682372,0.0003249390739236393,0.018359057676685622,0.0,0.0,0.00016246953696181965,0.0,0.0,0.0,0.0,0.0,0.00048740861088545896,0.0,0.0,0.0,0.0,0.029569455727051178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002274573517465475,0.0,0.012510154346060114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.0,0.031849122587897336,0.3860613251732967,0.5201398863423469,0.0,0.0013114344595016548,0.0034971585586710797,0.0,0.0,0.0,0.0027477674389558486,0.0,0.0006869418597389621,0.010366577156060701,0.024917254730531444,0.008493099356772622,0.0029975644788609256,0.0032473615187660026,0.0,0.0,0.0,0.0,0.0006869418597389621,0.0,0.00024979703990507713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003746955598576157,0.0,0.0,0.0,0.00018734777992880785,0.0008742896396677699,0.0,0.0012489851995253856,0.0,0.0,0.0,0.0,0.0,6.244925997626928e-05,0.0,0.0,0.0,0.0,0.0
"X215076",0.0,0.0008053556148386772,0.4921729501182866,0.4253284340866764,0.0,0.0,0.001409372325967685,0.0,0.0,0.0,0.0,0.0,0.0010066945185483464,0.015301756681934868,0.002315397392661197,0.0008053556148386772,0.0007550208889112598,0.0006040167111290079,0.00010066945185483464,0.0,0.0006040167111290079,0.0,0.0009563597926209292,0.0,0.00010066945185483464,0.0,0.0,0.0,0.0,0.0,0.0,0.0002013389037096693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033472592741732e-05,0.05697890974983641,0.0,0.0005033472592741732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",7.783312577833126e-05,0.007705479452054794,0.8586550435865504,0.08328144458281445,0.0,0.0,0.002724159402241594,0.0,0.0,0.0,0.0,0.0,0.0013231631382316315,0.021092777085927772,0.002957658779576588,0.008717310087173101,0.0017123287671232876,0.0009339975093399751,0.0,0.0,0.00015566625155666251,0.0,0.00046699875466998757,0.0,0.0011674968866749688,0.0,0.0,0.0,0.0,0.0,0.0,0.0037359900373599006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006226650062266501,0.0,0.0,7.783312577833126e-05,0.0,0.0,0.0,0.0035024906600249067,0.0,0.0010896637608966376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.0,0.012277396219534432,0.8046556858931502,0.08934540813225551,0.0,0.003889868109159424,0.00030389594602808,0.0,0.0,0.0,0.00334285540630888,0.0,0.0,0.0025527259466358717,0.00486233513644928,0.05117607731112867,0.0009116878380842399,0.006442594055795296,0.0,0.0,0.006807269191028992,0.0,0.0018233756761684798,0.0,0.000121558378411232,0.0,0.0,0.0,0.0,0.0,0.0,0.010271682975749104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006685710812617759,0.0,0.0,0.000547012702850544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219653",0.0,0.02458592132505176,0.456055900621118,0.29487577639751555,0.0,0.00036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029503105590062114,0.029503105590062112,0.02665631469979296,0.008695652173913044,0.02127329192546584,0.0,0.0,0.0007246376811594203,0.0,0.0005693581780538302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013302277432712215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009006211180124223,0.0,0.011387163561076604,0.0,0.0,0.0,0.0,0.0,0.0005693581780538302,0.02386128364389234,0.0,0.02044513457556936,0.0,0.0,0.0,0.0,0.0,0.055175983436853,0.0,0.0,0.0,0.0,0.0
