"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Pseudomonadales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Sphingomonadales","Chthoniobacterales","Bacillales","Sphingobacteriales","Coriobacteriales","Solibacterales","Opitutales","Fusobacteriales","Caulobacterales","Bifidobacteriales","Actinomycetales","Rhizobiales","Thermales","Flavobacteriales","Micrococcales","Cytophagales","Gastranaerophilales","Subgroup_6(class)","Gaiellales","Mollicutes_RF9","Micromonosporales","Unknown_Order","Anaerolineales","Chromatiales","Chlorobiales","Thermoanaerobacterales","Synergistales","Victivallales","Propionibacteriales","Methanobacteriales","Neisseriales","Planctomycetales","Thermoplasmatales","Streptomycetales","Chloroplast(class)","Desulfovibrionales","Campylobacterales","Bacteroidetes_vadinHA17(class)","Acidimicrobiales","Legionellales","Enterobacteriales","Acidobacteriales","Tectomicrobia(phylum)","Frankiales","Xanthomonadales","Methylophilales","OPB35_soil_group(class)","Solirubrobacterales","ML635J_21(class)","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadales","SC_I_84","Gemmatimonadales","Cellvibrionales","Myxococcales","SubsectionI","Subgroup_2(class)","Rhodocyclales","JG30_KF_CM45","Pseudonocardiales"
"X206678",0.0,0.00141609629455,0.552277554874,0.319919754543,0.0,0.032216190701,0.0,0.00247816851546,0.0165211234364,0.0,0.00295020061364,0.0175831956573,0.0,0.00188812839273,0.0,0.000354024073637,0.0,0.00660844937456,0.0,0.0,0.0,0.0,0.0,0.000590040122728,0.0,0.0,0.0,0.00106207222091,0.00165211234364,0.0,0.0,0.0,0.0,0.0,0.000590040122728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236016049091,0.0,0.0,0.0,0.0,0.0408307764928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000354024073637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000472032098183,0.0,0.0
"X206684",0.0,0.0487514863258,0.506319637116,0.421191702999,8.80785660809e-05,0.0018496498877,0.0,0.000132117849121,0.00224600343506,0.0,0.0147971991016,0.00171753203858,0.0,0.0,0.0,0.000880785660809,0.0,0.000308274981283,0.0,0.0,0.0,0.0,0.00132117849121,0.0,0.0,0.0,0.0,0.000264235698243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132117849121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0,0.0188498541639,0.588089330025,0.362239345261,0.0,0.00226372382569,0.0,0.000783596708894,0.00461451395237,0.0,0.00787950023943,0.0115362848809,0.0,0.0,0.0,0.000391798354447,0.0,0.00187192547125,0.0,0.0,0.0,0.0,0.00095772931087,0.000174132601976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000348265203953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.00133536818008,0.257821442198,0.711131247615,0.0,9.53834414346e-05,0.000381533765738,4.76917207173e-05,0.00119229301793,0.0,0.00643838229683,0.00152613506295,0.0,4.76917207173e-05,0.0,0.000238458603586,0.0,0.000667684090042,0.0,0.0,0.00543685616177,0.0,0.00100152613506,0.000190766882869,0.0,0.0,9.53834414346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467379,0.0,0.0,0.0,0.0,0.00052460892789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.000736139866575,0.37037037037,0.589602024385,0.0,0.000138026224983,0.0,0.000184034966644,0.00124223602484,0.0,0.00515297906602,0.00818955601564,0.0,0.0,0.0,9.20174833218e-05,0.0,0.00234644582471,0.0,0.0,0.00676328502415,0.0,0.00280653324132,0.000276052449965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111801242236,0.000138026224983,0.0,0.0,0.0,0.000736139866575,0.0,0.0,0.0,4.60087416609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.0150730098917,0.375240868411,0.561983471074,0.0,0.0026977262022,8.56421016572e-05,0.0,8.56421016572e-05,0.0,0.01498736779,0.004496210337,0.0,0.0,0.0,8.56421016572e-05,0.0,0.000428210508286,0.0,0.0,0.000342568406629,0.0,0.0144735151801,0.0,0.0,0.0,4.28210508286e-05,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28210508286e-05,0.0,0.0026977262022,0.0,8.56421016572e-05,4.28210508286e-05,0.0,0.0,0.0,0.0,0.00616623131932,0.0,0.0,0.0,0.0,0.000856421016572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206731",0.0,0.0106934543098,0.429317887233,0.50518470512,0.0,0.00141769280622,8.10110174984e-05,0.000202527543746,0.0121516526248,0.0,0.0118681140635,0.00615683732988,0.0,0.0,0.0,0.000729099157485,0.0,0.000405055087492,0.0,0.0,0.0,0.0,0.0157971484122,0.000121516526248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109364873623,0.0,0.000121516526248,0.0,0.0,0.0,0.0,0.0,0.00461762799741,0.0,0.0,0.0,0.0,4.05055087492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.00184344866704,0.0208924182265,0.479580260919,0.363112119493,0.0,0.0279826054074,0.000189071658158,4.72679145396e-05,0.00401777273587,0.000189071658158,0.00916997542068,0.0339383626394,0.0,0.0,0.0,0.0,0.0,0.00557761391567,0.0,4.72679145396e-05,0.0266118358858,0.0,0.00950085082246,0.000141803743619,0.00103989411987,0.0,0.0,0.000992626205332,0.000189071658158,0.0,0.000378143316317,0.0,0.0,0.00165437700889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000614482889015,0.000330875401777,0.000709018718094,0.0,0.0,0.0,4.72679145396e-05,0.0075155984118,0.0,0.0,0.0,0.0,0.00245793155606,0.0,0.0,0.000472679145396,0.0,0.0,0.0,0.000141803743619,0.0,0.0,0.0,0.000236339572698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000189071658158,0.000189071658158
"X206762",0.0,0.00131704980843,0.463421934866,0.356142241379,0.0,0.0663314176245,0.00269396551724,0.00233477011494,0.00155651340996,0.0,0.0249042145594,0.0153256704981,0.0,0.0,0.0,0.000478927203065,5.98659003831e-05,0.00287356321839,0.0,0.0,0.000658524904215,0.0,0.00323275862069,0.000239463601533,0.0,0.0,0.00287356321839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010775862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544779693487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.0,0.00106487200239,0.336627337394,0.536610299442,0.0,0.0452357626613,4.25948800954e-05,0.000170379520382,0.00174639008391,0.0,0.0198066192444,0.00494100609107,0.0,0.0,0.0,0.000255569280572,0.0,0.00391872896878,0.0,0.0,0.000511138561145,0.0,0.00442986752992,4.25948800954e-05,0.0,0.0,0.0,8.51897601908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000937087362099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435745623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0,0.0173201735858,0.535811667115,0.404931064941,0.000652866853566,0.00188179269557,0.000115211797688,7.68078651254e-05,0.00119052190944,3.84039325627e-05,0.0120972387572,0.00871769269173,7.68078651254e-05,0.000153615730251,0.0,7.68078651254e-05,0.000192019662813,0.00099850224663,0.0,0.0,7.68078651254e-05,0.0,0.0028802949422,7.68078651254e-05,0.000345635393064,0.0,0.000153615730251,0.000268827527939,0.00042244325819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00691270786128,0.0,0.0,0.0,0.0,0.00410922078421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000268827527939,0.0,0.000153615730251,0.0,0.0,0.0,0.0,0.0,0.0
