"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Gaiellales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Coriobacteriales","Fibrobacterales","Thermales","Bifidobacteriales","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Gastranaerophilales","Desulfovibrionales","Synergistales","Caldilineales","Planctomycetales","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Sphingobacteriales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Caulobacterales","Subgroup_6(class)","Desulfuromonadales","Nitrospirales","Alteromonadales","Candidatus_Falkowbacteria(class)","Cytophagales","Gitt_GS_136(class)","Sphingomonadales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","Enterobacteriales","Subgroup_10","Opitutales","Frankiales","Oligosphaerales","Chloroplast(class)","Solibacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Solirubrobacterales","Cellvibrionales","UA11(class)","Lineage_IIc"
"X206682",0.00733496332518,0.633251833741,0.0733496332518,0.0,0.00977995110024,0.0,0.0,0.0,0.0,0.041564792176,0.0,0.141809290954,0.0,0.00977995110024,0.0,0.0,0.0146699266504,0.0,0.0,0.00488997555012,0.0,0.0,0.0,0.0,0.0,0.0,0.00244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146699266504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220048899756,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.133803666184,0.177882296189,0.483598649301,0.0,0.0,0.00030149541727,0.0,0.0,0.0,0.00385914134105,0.000120598166908,0.0130849011095,0.0,0.00506512301013,0.000602990834539,0.0423299565847,0.00132657983599,0.0,0.0,0.00422093584178,0.0,0.000361794500724,0.0,0.0,0.0,0.0,0.00337674867342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00271345875543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030149541727,0.000180897250362,0.0,0.0191751085384,0.0,0.0,0.107694163049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.128801634135,0.180435769405,0.441783931003,0.0,0.0,0.000113481615978,0.0,0.0,0.0,0.010213345438,0.0,0.0285973672265,0.0,0.00601452564685,0.00374489332728,0.0400590104403,0.00136177939174,0.0,0.0,0.00170222423967,0.0,0.00113481615978,0.0,0.0,0.0,0.0,0.00794371311847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000226963231956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251929187472,0.0,0.0,0.121198365865,0.0,0.0,0.0,0.0,0.00147526100772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.132035416559,0.185936933672,0.474343706312,0.0,0.000724900326205,0.000414228757832,0.0,0.0,0.00150157924714,0.0110288406773,0.0,0.0131517630612,0.000258892973645,0.00724900326205,0.000724900326205,0.0242841609279,0.00274426552063,0.0,0.0,0.0066276601253,0.0,0.000207114378916,0.0,0.000569564542018,0.0,0.0,0.00481540930979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295137989955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207114378916,0.0,0.025785740175,0.0,0.0,0.104282089784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155335784187,0.0,0.0,0.0,0.0,0.0
"X215050",0.0384517335146,0.430531951054,0.3775492862,0.0,0.000254928619986,0.0,0.0,0.0,0.0,0.0222212780421,0.0,0.0185673011557,0.0,0.00701053704963,8.49762066621e-05,0.0,0.00713800135962,0.0,0.0,0.0484789259007,0.0,0.000127464309993,0.0,0.0,0.0,0.0,0.00620326308634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339904826649,0.0,0.000764785859959,0.0,0.0,0.0422756628144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215023",0.156653509065,0.32391115274,0.408911487255,0.0,0.0,0.000133806114939,0.0,0.0,0.0,0.00304408911487,0.0,0.0156553154479,0.0,3.34515287349e-05,0.000100354586205,0.000267612229879,0.000301063758614,0.0,0.0,0.000869739747106,0.0,0.000367966816083,0.0,0.0,0.0,0.0,0.00351241051716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862380410785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.000696378830084,0.448235840297,0.0127669452182,0.0,0.00116063138347,0.00116063138347,0.0,0.0,0.0,0.0118384401114,0.0,0.0287836583101,0.0,0.019730733519,0.00348189415042,0.0111420612813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232126276695,0.0,0.0,0.0,0.0,0.0,0.000232126276695,0.0,0.0,0.0,0.0,0.0,0.0,0.000464252553389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232126276695,0.0,0.115598885794,0.000696378830084,0.0,0.341457753018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.000261506276151,0.435059274756,0.00950139470014,0.0,0.000784518828452,0.000523012552301,0.0,0.0,0.00113319386332,0.0651150627615,0.0146443514644,0.0432357043236,0.0,0.0116806136681,0.000174337517434,0.00496861924686,0.000174337517434,0.0,0.0,0.0,0.0,0.00200488145049,0.000261506276151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322524407252,0.0,0.0638075313808,0.0,0.0,0.343444909344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.0193017314789,0.589057621345,0.2870422935,0.0,0.0,0.000567697984672,0.0,0.0,0.0,0.00801873403349,0.0227079193869,0.0113539596934,0.0,0.00106443372126,0.0,0.0,0.000425773488504,0.0,0.0,0.0,0.0,7.0962248084e-05,0.0,0.0,0.0,0.0444933295487,0.0139086006245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141924496168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0962248084e-05,0.0,0.0,0.00170309395402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0962248084e-05,0.0,0.0,0.0,0.0,0.0
"X206561",0.0202525884629,0.528046421663,0.353737626579,0.0,0.0,0.0,0.0,0.0,0.0,0.0056889293435,0.0136534304244,0.0329957901923,0.0,0.00102400728183,0.00022755717374,0.0,0.0,0.0,0.0,0.00022755717374,0.0,0.0,0.0,0.0,0.0,0.01490499488,0.0273068608488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193423597679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
