"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Solibacterales","Pseudomonadales","Kineosporiales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Caulobacterales","Bifidobacteriales","NB1_n","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Campylobacterales","MB_A2_108(class)","Rhizobiales","Mollicutes_RF9","Rickettsiales","Unknown_Order","Thermoanaerobacterales","Synergistales","Victivallales","Neisseriales","Sphingobacteriales","Planctomycetales","Obscuribacterales","Chloroplast(class)","Bdellovibrionales","Flavobacteriales","Pasteurellales","Enterobacteriales","Acidobacteriales","Xanthomonadales","Cytophagales","Thermoplasmatales","Verrucomicrobiales","Methanobacteriales","Cellvibrionales"
"X215056",0.0035548784358534883,0.607058972894052,0.18060052053577097,0.0,0.0,0.0,0.00012695994413762458,0.0,0.0,0.009014156033771346,0.0012061194693074335,0.02386846949787342,0.007363676759982226,0.00019043991620643687,0.01466387354789564,0.0,0.0006347997206881229,0.0,0.0026026788548213038,0.0,0.00012695994413762458,0.0,0.0013965593855138703,0.006601917095156478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008887196089633721,6.347997206881229e-05,0.0,0.0,0.0,0.0,0.0,0.0014600393575826826,0.061131213102266234,0.0,0.0,0.0,0.0,0.07655684631498762,0.0008887196089633721,0.0
"X215055",0.0036457088214200337,0.5063351661486971,0.34030600047812576,0.0,0.0,0.0,0.0002390628735357399,0.0,0.0,0.005020320344250538,0.0007769543389911546,0.011714080803251255,0.0133277551996175,0.00029882859191967485,0.010399234998804685,0.0,0.0007769543389911546,0.0,0.004542194597179058,0.0,5.9765718383934975e-05,0.00011953143676786995,0.0016734401147501792,0.015180492469519484,0.0004183600286875448,0.0,0.0,0.0,0.0,0.0005378914654554147,0.00011953143676786995,0.0,0.0004781257470714798,0.0006574229022232848,0.00017929715515180492,0.0,0.0,0.0,0.0,0.0,0.0008964857757590247,0.06179775280898876,0.0,0.0,0.0,0.0,0.020141047095386087,0.00035859431030360985,0.0
"X215058",0.04054054054054054,0.5868140868140869,0.2588725088725089,0.0,0.0,0.0,0.0015015015015015015,0.0,0.0,0.0004095004095004095,0.028255528255528257,0.008121758121758122,0.007575757575757576,0.0,0.0,0.0,0.0004095004095004095,0.0001365001365001365,6.825006825006825e-05,0.0,0.00034125034125034127,0.0,0.0,0.041086541086541084,0.0,0.0,0.0,0.004231504231504231,0.0,0.0,0.0,0.00020475020475020476,0.0010237510237510238,0.0004095004095004095,0.0,0.0,0.00034125034125034127,0.0,0.0,0.0,0.0006825006825006825,0.0006825006825006825,0.0,0.0,0.0,0.0,0.017813267813267815,0.0004777504777504777,0.0
"X215057",0.04105749564426937,0.48454662525566244,0.3849708355427619,0.0,0.0,0.0,7.575183698204681e-05,0.0,0.0,0.0013256571471858194,0.02211953639875767,0.006931293083857284,0.010264373911067343,0.00015150367396409362,7.575183698204681e-05,0.0,0.0005302628588743277,0.0,0.00022725551094614045,0.0,0.0,0.0,0.0,0.03295204908719036,0.0,0.0,0.0,0.0032194530717369898,0.0,0.0,3.7875918491023404e-05,7.575183698204681e-05,0.0003408832664192107,3.7875918491023404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018937959245511705,0.0004923869403833043,0.0,0.0,0.0,7.575183698204681e-05,0.00988561472615711,0.0004166351034012575,0.0
"X215074",0.028180463351849344,0.5642866820214063,0.3126947568080206,0.0,0.0,0.0,0.00013548299688389108,0.0,0.0,0.011651537732014633,0.0,0.02154179650453868,0.024657905432868176,0.0,0.0006774149844194553,0.0,0.0027096599376778214,0.0,0.0031161089283294947,0.0,0.0010838639750711287,0.0004064489906516732,0.0,0.0021677279501422573,0.0,0.0004064489906516732,0.0,0.005961251862891207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00501287088470397,0.003522557918981168,0.0,0.0,0.0,0.0,0.011787020728898524,0.0,0.0
"X215077",0.019572790612394572,0.5301613494682802,0.37962962962962965,0.0,0.0,0.0,0.00018335166850018335,0.0,0.0,0.004171250458379171,0.0,0.016455812247891454,0.016639163916391638,9.167583425009168e-05,0.00041254125412541255,0.0,0.0012834616795012834,0.0,0.002841950861752842,0.0,0.00018335166850018335,0.0,0.0001375137513751375,0.004308764209754309,0.0001375137513751375,0.0,0.0,0.0016043270993766044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006004767143381004,0.0005042170883755042,0.0,0.0,0.0,0.0,0.015676567656765675,0.0,0.0
"X222170",0.03792030810250333,0.20485853947563323,0.7378166197600355,0.0,0.0005925048141016146,0.0,0.0,0.0,0.0,0.002073766849355651,0.0,0.007554436379795586,0.0005925048141016146,0.0,0.0,0.0,0.0005925048141016146,0.0,0.0002962524070508073,0.0,0.0002962524070508073,0.0,0.0,0.0060731743445415496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013331358317286328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.040532569309850844,0.25971180584815035,0.6676497851183956,0.0,0.0,0.0,0.002275216988286846,0.0,0.0006741383668998062,0.005477374231060925,0.0,0.010112075503497093,0.0009269402544872335,0.00042133647931237887,0.0,0.0,0.0009269402544872335,0.0,0.0006741383668998062,0.0,0.00016853459172495156,8.426729586247578e-05,0.0,0.0069941855565854895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006741383668998062,0.0016853459172495155,0.0,0.0,0.00042133647931237887,0.0,0.0,0.0,0.0
"X224844",0.03217911530094271,0.6215554749818709,0.2864394488759971,0.0,0.0006345177664974619,0.0,0.0002719361856417694,0.0,0.0,0.0008158085569253082,0.0,0.011421319796954314,0.0,0.0006345177664974619,0.0019035532994923859,0.0,0.0005438723712835388,0.0,0.004169688179840464,0.0,0.0,0.0,0.0,0.007251631617113851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003353879622915156,0.02864394488759971,0.0,0.00018129079042784627,0.0,0.0,0.0,0.0,0.0
"X224845",0.02817952785294392,0.6710833255575255,0.26943174395819725,0.0,0.0,0.0,0.0,0.0,0.0,0.0013063357282821686,0.0,0.013763179994401417,0.0008864421013343286,9.330969487729775e-05,0.0012596808808435197,0.0,9.330969487729775e-05,0.0,0.0011663711859662218,0.0,0.00013996454231594662,0.0,0.0,0.003032565083512177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018195390501073061,0.0077447046748157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
