"","Betaproteobacteria","Bacteroidia","Clostridia","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Solibacteres","Negativicutes","Erysipelotrichia","Bacilli","Sphingobacteriia","Coriobacteriia","Deinococci","Mollicutes","Flavobacteriia","Melainabacteria","Epsilonproteobacteria","Synergistia","MB_A2_108","Fusobacteriia","Subgroup_6","Lentisphaeria","Planctomycetacia","Thermomicrobia","Deltaproteobacteria","Chloroplast","Thermoplasmata","Methanobacteria","Thermoleophilia","Blastocatellia","Verrucomicrobiae","Cytophagia","Latescibacteria(phylum)","Acidobacteria","Verrucomicrobia_Incertae_Sedis"
"X215056",0.00444359804482,0.180600520536,0.607058972894,0.00120611946931,0.062718212404,0.00272963879896,0.0,0.0238684694979,0.00736367675998,0.00920459594998,6.34799720688e-05,0.000634799720688,0.0,0.0,0.0,0.00139655938551,0.0,0.0,0.0,0.0146638735479,0.0,0.0,0.0,0.0,0.00660191709516,0.0,0.0,0.000888719608963,0.0,0.0,0.076556846315,0.0,0.0,0.0,0.0
"X215055",0.00430313172364,0.340306000478,0.506454697585,0.000776954338991,0.0629333014583,0.00472149175233,0.0,0.0117140808033,0.0133277551996,0.00531914893617,0.000179297155152,0.000776954338991,0.0,0.0,0.0,0.00167344011475,0.000418360028688,0.0,0.0,0.0103992349988,0.0,0.000478125747071,0.0,0.0,0.0151804924695,0.0,0.0,0.000358594310304,0.0,0.0,0.0201410470954,0.0,0.0,0.0,0.000537891465455
"X215058",0.04095004095,0.258872508873,0.586814086814,0.028392028392,0.0028665028665,0.0004095004095,0.0,0.00812175812176,0.00757575757576,0.0004095004095,0.0,0.0004095004095,0.0,0.0042315042315,0.0,0.00034125034125,0.0,0.00020475020475,0.0,0.0,0.0,0.00102375102375,0.0,0.0,0.0410865410865,0.0,0.0,0.00047775047775,0.0,0.0,0.0178132678133,0.0,0.0,0.0,0.0
"X215057",0.0410953715628,0.384970835543,0.484584501174,0.0221195363988,0.00075751836982,0.000227255510946,0.0,0.00693129308386,0.0102643739111,0.00147716082115,0.0,0.000530262858874,0.0,0.00321945307174,0.0,0.0,0.0,7.5751836982e-05,0.0,7.5751836982e-05,0.0,0.000340883266419,0.0,0.0,0.0329520490872,0.0,7.5751836982e-05,0.000416635103401,0.0,0.0,0.00988561472616,0.0,0.0,0.0,0.0
"X215074",0.0281804633518,0.312694756808,0.564286682021,0.0,0.00867091180057,0.00460642189405,0.0,0.0215417965045,0.0246579054329,0.011651537732,0.0,0.00270965993768,0.0,0.00596125186289,0.0,0.0,0.0,0.0,0.000406448990652,0.000677414984419,0.0,0.0,0.0,0.0,0.00216772795014,0.0,0.0,0.0,0.0,0.0,0.0117870207289,0.0,0.0,0.0,0.0
"X215077",0.0195727906124,0.37962962963,0.530161349468,0.0,0.00669233590026,0.00302530253025,0.0,0.0164558122479,0.0166391639164,0.00426292629263,0.0,0.0012834616795,0.0,0.00160432709938,0.0,0.000137513751375,0.000137513751375,0.0,0.0,0.000412541254125,0.0,0.0,0.0,0.0,0.00430876420975,0.0,0.0,0.0,0.0,0.0,0.0156765676568,0.0,0.0,0.0,0.0
"X222170",0.0379203081025,0.73781661976,0.204858539476,0.0,0.00133313583173,0.0011850096282,0.0,0.0075544363798,0.000592504814102,0.00207376684936,0.0,0.000592504814102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00607317434454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.0405325693099,0.667649785118,0.259711805848,0.0006741383669,0.00463470127244,0.000926940254487,0.0,0.0101120755035,0.000926940254487,0.00589871071037,0.0,0.000926940254487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.00699418555659,0.0,0.0,0.0,0.0,0.0,0.0,0.000421336479312,0.0,0.0,0.0
"X224844",0.0321791153009,0.286439448876,0.621555474982,0.0,0.0324510514866,0.00480420594634,0.0,0.011421319797,0.0,0.00145032632342,0.0,0.000543872371284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190355329949,0.0,0.0,0.0,0.0,0.00725163161711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",0.0281795278529,0.269431743958,0.671083325558,0.0,0.00956424372492,0.00130633572828,0.0,0.0137631799944,0.000886442101334,0.00139964542316,0.0,9.33096948773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125968088084,0.0,0.0,0.0,0.0,0.00303256508351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.00941555273685,0.20514196507,0.652941750415,0.0,0.000682993462777,0.0644453117377,0.0,0.0470777636843,0.00204898038833,0.00112206068885,0.0,0.000536637720753,0.0,0.0,0.0,0.0106351839204,0.0,0.0,0.0,4.87852473412e-05,0.000146355742024,0.0,0.0,0.0,0.00439067226071,4.87852473412e-05,0.0,0.0,0.0,0.0,0.00131720167821,0.0,0.0,0.0,0.0
"X219651",0.00566859850247,0.227040060916,0.682727695757,0.0,0.000549938660688,0.0273277211388,0.0,0.0324040780067,0.00393417657261,0.00232666356445,0.0,0.000296120817293,0.0,0.0,0.000296120817293,0.0111679851094,0.0,0.0,0.0,4.23029738991e-05,0.0,0.0,0.0,0.0,0.00579550742417,0.0,0.0,0.0,0.0,0.0,0.000423029738991,0.0,0.0,0.0,0.0
"X219656",0.0274629913221,0.300561510975,0.638591117917,0.00173557937723,0.0108218478816,0.00204185809086,0.0,0.00428790199081,0.00775906074528,0.000102092904543,0.0,0.000204185809086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102092904543,0.0,0.0,0.0,0.0,0.00245022970904,0.0,0.0,0.0,0.0,0.0,0.00296069423175,0.0,0.0,0.0,0.0
"X219655",0.0161391640493,0.136796327615,0.824402029476,4.8320850447e-05,0.00289925102682,0.000579850205364,0.0,0.00231940082145,0.0124184585649,0.00111137956028,0.0,9.66417008939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115970041073,0.0,0.0,0.0,0.0,0.000773133607151,0.0,0.0,0.0,0.0,0.0,0.00125634211162,0.0,0.0,0.0,0.0
"X219657",0.0,0.016999055608,0.690128326204,5.55524693073e-05,0.114215876896,0.00105549691684,0.0,0.0344980834398,0.142103216488,0.000944391978223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.0,0.0,0.521264994547,0.0,0.295528898582,0.0109051254089,0.0,0.0599781897492,0.0883315158124,0.0218102508179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218102508179,0.0,0.0,0.0,0.0
