"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Subgroup_6","Synergistia","Nitrospira","Mollicutes","Caldilineae","Planctomycetacia","WCHA1_57","Spartobacteria","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Proteobacteria_Incertae_Sedis","Candidatus_Falkowbacteria","Chloroplast","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Oligosphaeria","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206682",0.0,0.007334963325183374,0.6332518337408313,0.07334963325183375,0.014669926650366748,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.04156479217603912,0.14180929095354522,0.009779951100244499,0.0,0.0,0.014669926650366748,0.0,0.02444987775061125,0.0,0.0,0.0,0.0,0.017114914425427872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.018633540372670808,0.006211180124223602,0.2639751552795031,0.13871635610766045,0.021739130434782608,0.4192546583850932,0.0,0.0,0.0,0.0,0.0,0.030020703933747412,0.019668737060041408,0.0,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0
"X206700",0.0,0.0028191436436602432,0.19996020032503067,0.20277934396869093,0.0,0.30171470266326156,0.0,0.0,0.0,0.0,0.0,0.0033498059765845246,0.07429272660939935,0.020165168651122684,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002852310039468011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.28617060485687373,0.496171014374053,0.019861583193414963,0.02141774847454851,0.0,0.0,0.0,0.0,0.0,0.010196977763217168,0.1450509848888161,0.020926327859453704,4.095171792456694e-05,0.0,8.190343584913388e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.3386491221797118,0.4380519898451747,0.013623198769978903,0.02173990774841778,0.0,0.0,0.0,0.0,0.0,0.014731648013730468,0.1571494976221976,0.015267994421997354,0.0002502949905245468,0.0,0.0005005899810490936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,5.357908272610373e-05,0.9919095585083584,0.0,0.0,0.0,0.0009644234890698671,0.0,0.0009644234890698671,0.0,0.0003214744963566224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0018207829366627649,0.975159318506958,0.0,0.0,0.0,0.0013005592404734035,0.0,0.004161789569514892,0.001040447392378723,0.0,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.003911678418858407,0.623552421637758,0.32734572031499304,0.0010293890575943177,0.0023675948324669307,0.0,0.0,0.0,0.0,0.0002573472643985794,0.0031911060785423852,0.005249884193731021,0.02954346595295692,0.0011323279633537494,0.0,0.0005146945287971588,0.0,0.0,0.0,0.0,0.0,0.0,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02079049577336075,0.396435915010281,0.5467671921407357,0.00018277358921635825,0.0037925519762394334,0.0,0.0,0.0,0.0,0.0,0.0009595613433858808,0.009367146447338359,0.006351382225268449,0.0005026273703449851,0.0,0.000731094356865433,0.0,0.0,0.0,0.0,0.0,0.0,0.014119259766963673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",4.1017227235438884e-05,0.0005742411812961444,0.5054552912223134,0.4126743232157506,0.0008203445447087777,0.03506972928630025,0.0,0.0,0.0,0.0,0.0,0.0074241181296144385,0.014602132895816243,0.013412633305988516,0.001435602953240361,0.0,0.0002871205906480722,0.0,0.0,0.0,0.0,0.0,0.0,0.007916324856439705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0,0.0,0.0,0.0,0.00016406890894175554,0.0,0.0,0.0
"X206747",0.0,0.0004204109517052919,0.49529665247779703,0.4507330915970361,0.0008408219034105838,0.02648588995743339,0.0,0.0,0.0,0.0,0.0,0.003100530768826528,0.008355667665142678,0.007146986178989963,0.001996952020600137,0.0,0.00021020547585264595,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826527931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.039314552961379666,0.32248163981146555,0.5787204501443238,0.0008403668383938032,0.009682487485841646,0.0,0.0,0.0,0.0,0.0,0.0012422814132777961,0.03467426650590084,0.0023749497606781393,0.0018999598085425117,0.0,0.0002923015090065402,0.0,0.0,0.0,0.0,0.0,0.0,0.008476743761189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.00012961202799619806,0.05054869091851724,0.28596733776894495,0.6090901235634667,0.00047524410265272616,0.0015121403266223105,0.0,0.0,0.0,4.320400933206602e-05,0.0,0.0005184481119847922,0.03957487254817247,0.0016849563639505746,0.0023330165039315647,0.0,0.00017281603732826408,0.0,0.0,0.0,0.0,0.0,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.13580246913580246,0.037037037037037035,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008480403392161356,0.28107571243028495,0.1649476659790664,0.00026740010696004276,0.5323172129268852,0.0,0.0,0.0,3.8200015280006115e-05,0.0,0.005118802047520819,0.001031400412560165,0.0004966001986400795,0.005386202154480862,0.0,0.00019100007640003057,0.0,0.0,0.0,0.00019100007640003057,0.0,0.0,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.0001833583923136162,0.03307785397337636,0.6483552752209468,0.24988081704499615,0.00044006014155267885,0.016942315449778138,0.0,0.0,0.0,3.667167846272324e-05,3.667167846272324e-05,0.0013201804246580366,0.005757453518647549,0.0065642304448274595,0.02853056584399868,3.667167846272324e-05,0.0004767318200154021,0.0,0.0,0.0,0.0,0.0,0.0,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011001503538816971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",3.809959233436202e-05,0.06690288413913971,0.5504629100468625,0.29028079399550427,0.0008000914390216024,0.047243494494608906,0.0,0.0,0.0,0.0,0.0,0.0006476930696841544,0.003543262087095668,0.0067055282508477155,0.024040842762982437,0.0,0.00026669714634053413,0.0,0.0,0.0,0.0,0.0,0.0,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.0,0.025298134105283032,0.2041785972751015,0.6810043736823889,3.1465340926968945e-05,0.07677543186180422,0.0,0.0,0.0,0.0,0.0,0.00015732670463484473,0.002643088637865391,0.0006293068185393789,0.008432711368427676,0.0,0.0008495642050281615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.012425877806649343,0.22503164767805983,0.7124392031447798,3.331334532613765e-05,0.040808848024518625,0.0,0.0,0.0,0.0,0.0,0.00036644679858751413,0.002565127590112599,0.0004997001798920647,0.004897061762942235,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0
"X206750",0.00017909592377677485,0.0003581918475535497,0.39623182176373667,0.5271151228598037,0.0013611290207034888,0.019413998137402393,0.0,0.0,0.0,0.0,3.581918475535497e-05,0.006805645103517444,0.028297155956730425,0.003331184182248012,3.581918475535497e-05,0.0,0.0003581918475535497,0.0,0.0,0.0,0.0,0.0,0.0,0.016226090694175802,0.0,0.0,3.581918475535497e-05,0.0,3.581918475535497e-05,0.0,0.0,0.0,7.163836951070993e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,0.0,0.0,0.0
"X206751",3.933291378225299e-05,3.933291378225299e-05,0.46471837633731905,0.4758495909376967,3.933291378225299e-05,0.013097860289490245,0.0,0.0,0.0,0.0,0.0,0.0003933291378225299,0.021790434235368156,0.006529263687853996,0.0,0.0,0.00015733165512901197,0.0,0.0,0.0,0.0,0.0,0.0,0.016991818753933293,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015733165512901197,0.0,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.0,0.00011799874134675897,0.0,0.0,0.0
"X206756",0.0001702562356346301,0.08810760194092108,0.34259811015578445,0.5057461479526688,0.00021282029454328764,0.007533838426832383,0.0,0.0,0.0,0.0,0.0,0.0019579467097982466,0.01600408614965523,0.005703583893760109,0.00021282029454328764,0.0,0.00025538435345194517,0.0,0.0,0.0,0.0,0.0,0.0,0.020813824806333533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010683578786073039,0.0,0.0,0.0
"X206755",0.00016162922256343946,0.054105382253111366,0.4793922741231615,0.40835623080652983,0.00020203652820429934,0.004889283982544044,0.0,0.0,0.0,0.0,0.0,0.0023436237271698725,0.021577501212219168,0.005091320510748344,0.00016162922256343946,0.0,0.0003232584451268789,0.0,0.0,0.0,0.0,0.0,0.0,0.014102149668660094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00929368029739777,0.0,0.0,0.0
"X206767",0.0011184719951819668,0.009205884883420803,0.2987180590209068,0.5181966789985374,0.0013765809171470361,0.10978232814247613,0.0,0.0,0.0,0.0,0.0,0.004387851673406177,0.018927987610771746,0.004387851673406177,0.029596489718661276,0.0,8.603630732168976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004215779058762798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",8.367850717543199e-05,0.004560478641061043,0.3750052299066985,0.5490565248315971,0.0008786243253420359,0.026065854985147064,0.0,0.0,0.0,0.0,0.0,0.0012970168612191958,0.02225848290866491,0.0021338019329735156,0.01556420233463035,0.0,8.367850717543199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0029287477511401195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05
"X206769",0.005535055350553505,0.0,0.01845018450184502,0.014760147601476014,0.04797047970479705,0.7527675276752768,0.0,0.0,0.0,0.0,0.0,0.13099630996309963,0.02029520295202952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
