"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206754",0.062488183021365114,0.5267063717148799,0.3633011911514465,0.01947438079031954,0.000189071658158442,0.000567214974475326,0.0002836074872376635,0.0266118358858007,0.0,0.0,0.0,0.0,4.72679145396105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000330875401777274,0.0,0.0,0.0,0.0,0.0
"X206734",0.10207356596708729,0.2076083194361412,0.6810043736823891,0.0008810295459551308,0.0,0.0,0.0,0.00843271136842768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.05323472583116795,0.22846292224665216,0.7124392031447795,0.000932773669131854,0.0,0.0,3.33133453261377e-05,0.00489706176294223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.01907387822933973,0.7113234627587246,0.264050460794682,0.00517449765825654,0.0,0.0,7.55401117993655e-05,0.00030216044719746167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.03524752475247525,0.6927864214992935,0.2651202263083454,0.003847241867043845,0.0,0.0,0.000113154172560113,0.00135785007072136,0.00016973125884017,0.0,0.0,0.0,0.000792079207920792,0.000565770862800566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206741",0.029069767441860475,0.5406108989934055,0.4286706004859427,0.0014317945157931236,0.0,0.0,0.0,0.000130163137799375,8.67754251995835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.028959882941104687,0.5026216315083528,0.46561394951835194,0.0021948542860626753,0.0,0.0,0.0,0.000548713571515669,0.0,0.0,0.0,0.0,6.09681746128521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.014827628815025338,0.412702335351538,0.5307055480044486,0.0018534536018781687,0.0,0.0,0.0380575806252317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360187817,0.0,0.0,0.0,0.0,0.0
"X206743",0.014904517931998132,0.2615065418977856,0.6739213278570523,0.003090993775670072,0.0,0.00038108142439768,0.043273912859381,0.001863064741499768,8.46847609772621e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009738747512385151,0.0,0.0,0.0,0.0,0.0
"X206750",0.036177376602908554,0.43466580700623314,0.5271509420445594,0.00171932086825704,0.0,0.0,0.0001790959237767749,3.5819184755355e-05,0.0,0.0,3.5819184755355e-05,0.0,0.0,3.5819184755355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",0.030207677784770338,0.4934314033983641,0.4758495909376972,0.00019666456891126498,0.0,0.0,0.000117998741346759,0.0,0.0,0.0,3.9332913782253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157331655129012,0.0,0.0,0.0,0.0,0.0
"X206756",0.11662552140972163,0.36626372690899806,0.5057461479526686,0.0004682046479952331,0.0,0.0,0.010683578786073,0.000212820294543288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206755",0.07325844512687897,0.508404719573299,0.40835623080652994,0.0005252949733311779,0.0,0.0,0.00929368029739777,0.000161629222563439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
