"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206721",0.000129612027996198,0.05054869091851727,0.28596733776894456,0.6090901235634668,0.001512140326622312,0.000475244102652726,0.0,0.0,0.0,4.3204009332066e-05,0.0,0.000518448111984792,0.0,0.03957487254817246,0.001684956363950572,0.0,0.0,0.00233301650393156,0.0,0.000172816037328264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794953771710015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.1358024691358025,0.037037037037037,0.8148148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008480403392161353,0.28107571243028534,0.16494766597906613,0.5323172129268855,0.000267400106960043,0.0,0.0,0.0,3.82000152800061e-05,0.0,0.005118802047520814,0.0,0.001031400412560164,0.000496600198640079,0.0,0.0,0.00538620215448086,0.0,0.0001910000764000301,0.0,0.0,0.0,0.0,0.000191000076400031,0.0,0.0,0.0,0.0,0.000267400106960043,0.0,0.000191000076400031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206726",0.0,0.000125449527473447,0.5385130049343477,0.42414485238772254,0.005185247135569123,0.0005854311282094174,0.0,0.0,0.0,0.0,0.0,0.00037634858242034,0.0,0.0132558334030275,0.007359705611775526,0.0,0.0,0.00899054946893033,0.0,0.00020908254578907748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000669064146525048,0.0,0.000585431128209417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.000112807400165451,0.6570279010303077,0.3004813115740397,0.009400616680454237,0.000188012333609085,0.0,0.0,0.0,0.0,0.0,0.000300819733774536,0.0,0.0072948785440324895,0.003459426938407164,0.0,0.0,0.0205685492968339,0.0,7.5204933443634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000188012333609085,0.0,0.000902459201323607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.000183358392313616,0.03307785397337637,0.648355275220947,0.2498808170449957,0.016942315449778145,0.000440060141552678,0.0,0.0,0.0,3.66716784627232e-05,3.66716784627232e-05,0.0013201804246580357,0.0,0.005757453518647547,0.006564230444827465,0.0,0.0,0.0285305658439987,3.66716784627232e-05,0.00047673182001540246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825112765411273,0.0,0.00011001503538817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",3.8099592334362e-05,0.06690288413913972,0.550462910046863,0.29028079399550444,0.04724349449460889,0.000800091439021602,0.0,0.0,0.0,0.0,0.0,0.000647693069684154,0.0,0.003543262087095666,0.006705528250847714,0.0,0.0,0.0240408427629824,0.0,0.000266697146340534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00906770297557816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.0,0.000134625740441572,0.22051696284329575,0.2660204631125472,0.4886914378029076,0.0018847603661820119,0.0,0.0,0.0,0.0,0.000942380183091007,0.005788906838987609,0.0,0.000673128702207862,0.011443187937533659,0.0,0.0,0.00188476036618201,0.0,0.000269251480883145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053850296176629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883145,0.0,0.0,0.0
"X206729",0.0,0.0021049861860281496,0.42921983949480313,0.06584659913169319,0.31035390080252645,0.005065123010130248,0.0,0.0,0.0,0.000986712274700697,0.0,0.11103802131298507,0.0,0.05512432574661232,0.0030916984607288487,0.0,0.0,0.011248519931587951,0.000394684909880279,0.00473621891856335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000197342454940139,0.0,0.000592027364820418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.015115830942491373,0.37528368946173946,0.5619834710743804,0.003554147218772747,0.01464479938337685,0.0,0.0,0.0,4.28210508285873e-05,0.0,0.0001712842033143493,0.0,0.014987367790005588,0.004496210337001673,0.0,0.0,0.000342568406628699,0.0,0.00042821050828587367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00616623131931657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002697726202200999,8.56421016571747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
