"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Flavobacteriales","Sphingobacteriales","Sphingomonadales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Spirochaetales","Acidimicrobiales","Micrococcales","Pseudonocardiales","Desulfovibrionales","Neisseriales","Blastocatellales","Rhizobiales","Nitrospirales","Mollicutes_RF9","Desulfurellales","WCHA1_57(class)","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Unknown_Order","Chloroplast(class)","Xanthomonadales","Frankiales","Synergistales","Chthoniobacterales","Campylobacterales","Pasteurellales","X35","Myxococcales","Methylophilales","Cytophagales","Enterobacteriales","Verrucomicrobiales","Aeromonadales","Lineage_IIb","Oligoflexales","Thermoanaerobacterales"
"X206728",0.0001833583923136162,0.03307785397337636,0.6483552752209468,0.24988081704499615,0.0,0.0,0.0009167919615680809,3.667167846272324e-05,3.667167846272324e-05,0.0,0.0012835087461953133,0.005757453518647549,0.0065642304448274595,3.667167846272324e-05,0.02853056584399868,3.667167846272324e-05,0.0004767318200154021,0.00022003007077633943,0.0,0.0,0.0,0.00022003007077633943,0.0,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011001503538816971,0.002090285672375225,0.0,0.0,0.0,0.0,0.013898566137372108,0.0,3.667167846272324e-05,0.0,0.0,0.0
"X206727",3.809959233436202e-05,0.06690288413913971,0.5504629100468625,0.29028079399550427,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0,0.0005714938850154304,0.003543262087095668,0.0067055282508477155,7.619918466872404e-05,0.024040842762982437,0.0,0.00026669714634053413,0.00011429877700308607,3.809959233436202e-05,0.0,0.0,0.0006476930696841544,0.0,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012191869546995847,0.0,0.0,0.0,0.0,0.045986207947574964,0.0,0.0,0.0,0.0,0.0
"X206734",0.0,0.02375633239986155,0.2041785972751015,0.6810043736823889,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.0,9.439602278090684e-05,0.002643088637865391,0.0006293068185393789,6.293068185393789e-05,0.008432711368427676,0.0,0.0008495642050281615,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015418017054214782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.07671250117995028,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.010560330468385636,0.22503164767805983,0.7124392031447798,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.00029982010793523883,0.002565127590112599,0.0004997001798920647,6.66266906522753e-05,0.004897061762942235,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0018655473382637084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04077553467919248,3.331334532613765e-05,0.0,0.0,0.0,0.0
"X206750",7.163836951070993e-05,0.0003581918475535497,0.39623182176373667,0.5271151228598037,0.0001074575542660649,0.0003581918475535497,0.00028655347804283973,0.0,3.581918475535497e-05,0.0,0.0061967189626764094,0.028297155956730425,0.003331184182248012,0.0006089261408410344,3.581918475535497e-05,0.0,0.0003581918475535497,3.581918475535497e-05,0.0003940110323089047,0.0,0.0,0.0004298302170642596,3.581918475535497e-05,0.016226090694175802,0.0,0.0,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,3.581918475535497e-05,7.163836951070993e-05,0.0,0.004190844616376531,0.0,0.0,0.0,0.0,0.014936600042983021,0.0001074575542660649,0.0,0.0,0.0,0.0
"X206751",3.933291378225299e-05,3.933291378225299e-05,0.46471837633731905,0.4758495909376967,0.0,0.0,0.00015733165512901197,0.0,0.0,0.0,0.00031466331025802394,0.021790434235368156,0.006529263687853996,7.866582756450598e-05,0.0,0.0,0.00015733165512901197,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.0,0.016991818753933293,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.00015733165512901197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0022813089993706736,0.0,0.0,0.0,0.0,0.01065921963499056,0.00011799874134675897,0.0,0.0,0.0,0.0
"X206756",8.512811781731506e-05,0.08810760194092108,0.34259811015578445,0.5057461479526688,0.0,0.0,0.00012769217672597258,0.0,0.0,0.0,0.0018302545330722737,0.01600408614965523,0.005703583893760109,0.00012769217672597258,0.00021282029454328764,0.0,0.00025538435345194517,0.00012769217672597258,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.020728696688516218,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003107176300332,0.0,0.0,0.0,0.0,0.004298969949774411,0.010683578786073039,0.0,0.0,0.0,0.0
"X206755",0.00016162922256343946,0.05394375303054792,0.4793922741231615,0.40835623080652983,0.0,0.0,4.0407305640859865e-05,0.0,0.0,0.0,0.002141587198965573,0.021577501212219168,0.005091320510748344,0.00020203652820429934,0.00016162922256343946,0.0,0.0003232584451268789,0.00016162922256343946,4.0407305640859865e-05,0.0,0.0,0.0,0.0,0.014102149668660094,0.00016162922256343946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031921771456279295,0.0,0.0,0.0,0.0,0.0016566995312752547,0.00929368029739777,0.0,0.0,0.0,0.0
"X206767",0.0,0.00017207261464337952,0.2987180590209068,0.5181966789985374,0.0,0.0,0.00017207261464337952,0.0,0.0,0.0011184719951819668,0.0040437064441194185,0.018927987610771746,0.004387851673406177,0.00034414522928675903,0.029596489718661276,0.0,8.603630732168976e-05,0.0009463993805385873,8.603630732168976e-05,0.0,0.0,0.0,0.0,0.004215779058762798,0.009033812268777424,0.0,0.0,0.0,0.0,0.0,0.0,0.00034414522928675903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009636066420029253,0.0,0.0,0.0,0.0,0.0999741891078035,0.0,0.0,0.0,0.0,0.0
"X206766",0.0,0.0006694280574034559,0.3750052299066985,0.5490565248315971,0.0,0.000125517760763148,0.00016735701435086398,0.0,0.0,0.0,0.0011714991004560479,0.02225848290866491,0.0021338019329735156,0.000125517760763148,0.01556420233463035,0.0,8.367850717543199e-05,0.0007531065645788879,0.0,0.0,0.0,0.0,0.0,0.0029287477511401195,0.0038910505836575876,0.0,8.367850717543199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005188067444876783,0.0,0.0,0.0,0.0,0.020710430525919418,0.0,0.0,8.367850717543199e-05,0.0,0.0
"X206769",0.0,0.0,0.01845018450184502,0.014760147601476014,0.0,0.0,0.09040590405904059,0.0,0.0,0.005535055350553505,0.08487084870848709,0.02029520295202952,0.0,0.046125461254612546,0.0,0.0,0.0,0.0,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6328413284132841,0.0,0.0,0.0,0.0,0.02952029520295203,0.0,0.0,0.0,0.0,0.0
"X206768",0.0,0.0049172999552972736,0.02682163611980331,0.010728654447921324,0.0004470272686633885,0.000894054537326777,0.012963790791238265,0.016092981671881983,0.012516763522574878,0.0,0.17702279839070184,0.0031291908806437194,0.0013410818059901655,0.04336164506034868,0.0116227089852481,0.0,0.0,0.0,0.02011622708985248,0.0,0.0,0.004470272686633884,0.0,0.0,0.003576218149307108,0.0,0.0,0.001788109074653554,0.0,0.0,0.004470272686633884,0.0,0.001788109074653554,0.0,0.0049172999552972736,0.001788109074653554,0.005364327223960662,0.0,0.0,0.0,0.0,0.6079570853822083,0.0,0.0031291908806437194,0.004470272686633884,0.0,0.008493518104604381,0.0,0.0,0.0,0.0,0.00581135449262405
"X224327",0.0,0.03565520243796256,0.3550282977797127,0.4570744449281672,0.0,0.0,0.0,0.0,0.0,0.0,0.00021767522855898998,0.0015237265999129299,0.013931214627775359,8.7070091423596e-05,0.0,0.0,8.7070091423596e-05,0.010317805833696125,0.0,0.0,0.0,8.7070091423596e-05,0.0,0.001393121462777536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009490639965171964,0.0,0.0,0.0,0.0,0.11497605572485851,0.000130605137135394,0.0,0.0,0.0,0.0
"X224328",0.0,0.03371173030615755,0.3416657111187555,0.4832396896380384,0.0,0.0,3.8221916446890644e-05,0.0,0.0,0.0,0.0004968849138095784,0.002599090318388564,0.00886748461567863,3.8221916446890644e-05,0.00015288766578756258,0.0,0.0,0.008714596949891068,0.0,0.0,0.0,0.0,0.0,0.003478194396667049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8221916446890644e-05,0.0,0.0,0.0,0.0,0.026870007262164125,0.0,0.0,0.0,0.0,0.09008905706532125,0.0,0.0,0.0,0.0,0.0
"X219633",0.0,0.0073937153419593345,0.8170671595810228,0.14041897720271104,0.0004313000616142945,0.00012322858903265557,0.0007393715341959334,0.0,0.0,0.0,0.009365372766481824,0.0022797288971041284,0.015095502156500308,0.0007393715341959334,0.00018484288354898336,0.0,0.00030807147258163895,0.00030807147258163895,6.161429451632779e-05,0.0,0.0,0.0,0.0,0.0036968576709796672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004929143561306223,0.0,0.0,0.0,0.0,0.0012939001848428836,0.0,0.0,0.0,0.0,0.0
"X219634",7.783312577833126e-05,0.007705479452054794,0.8586550435865504,0.08328144458281445,0.0,0.0,0.002724159402241594,0.0,0.0,0.0,0.021092777085927772,0.002957658779576588,0.008717310087173101,0.0017123287671232876,0.0009339975093399751,0.0,0.00015566625155666251,0.00046699875466998757,0.0011674968866749688,0.0,0.0,0.0013231631382316315,0.0,0.0037359900373599006,0.0006226650062266501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.783312577833126e-05,0.0,0.0,0.0,0.0,0.0035024906600249067,0.0,0.0,0.0,0.0,0.0010896637608966376,0.0,0.0,0.0,0.0,0.0
"X219637",0.025,0.0,0.1375,0.0,0.0,0.0,0.0,0.1625,0.2875,0.1375,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.075,0.0375,0.0,0.0,0.0,0.0375,0.0
"X219638",0.0,0.012277396219534432,0.8046556858931502,0.08934540813225551,0.0,0.003889868109159424,0.00030389594602808,0.00334285540630888,0.0,0.0,0.0025527259466358717,0.00486233513644928,0.05117607731112867,0.0009116878380842399,0.006442594055795296,0.0,0.006807269191028992,0.0018233756761684798,0.000121558378411232,0.0,0.0,0.0,0.0,0.010271682975749104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006685710812617759,0.0,0.000547012702850544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.0,0.004329004329004329,0.3386243386243386,0.2895622895622896,0.0,0.011063011063011063,0.012506012506012507,0.0,0.0,0.00481000481000481,0.003848003848003848,0.01875901875901876,0.016835016835016835,0.00962000962000962,0.0,0.0,0.010582010582010581,0.0,0.0,0.0,0.010101010101010102,0.02405002405002405,0.005291005291005291,0.02934102934102934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837902837902838,0.005772005772005772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012025012025012025,0.1645021645021645,0.0,0.0,0.0,0.0
"X219653",0.0,0.02458592132505176,0.456055900621118,0.29487577639751555,0.0,0.00036231884057971015,0.0,0.0,0.0,0.0,0.0029503105590062114,0.029503105590062112,0.02665631469979296,0.008695652173913044,0.02127329192546584,0.0,0.0007246376811594203,0.0005693581780538302,0.0,0.0,0.0,0.0,0.0,0.013302277432712215,0.011387163561076604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009006211180124223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005693581780538302,0.02386128364389234,0.0,0.0,0.0,0.0,0.02044513457556936,0.055175983436853,0.0,0.0,0.0,0.0
"X219654",0.0,0.012455191688437936,0.5780424084087733,0.17406889847499848,0.0,0.013123519047329729,0.0004860562610122122,0.0028555805334467463,0.0,0.00036454219575915913,0.0012151406525305304,0.05237256212406586,0.010085667416003403,0.0008505984567713713,0.005285861838507808,0.0,0.0009113554893978978,0.0007290843915183183,0.0,0.0,0.0,0.00042529922838568566,0.0,0.01780181055957227,0.002491038337687587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013305790145209308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002551795370314114,0.0,0.0,0.0,0.0,0.013123519047329729,0.09745428033294853,0.0,0.0,0.0,0.0
"X219693",0.0,0.000962000962000962,0.823953823953824,0.04737854737854738,0.0,0.0,0.0013227513227513227,0.000962000962000962,0.00012025012025012025,0.0,0.047619047619047616,0.020803270803270803,0.022005772005772004,0.0012025012025012026,0.0,0.00012025012025012025,0.0027657527657527657,0.0,0.0,0.0,0.0,0.0007215007215007215,0.0,0.025372775372775373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002886002886002886,0.0,0.0,0.0,0.0,0.0018037518037518038,0.0,0.0,0.0,0.0,0.0
"X219668",0.0,0.016,0.3664,0.0144,0.0,0.0,0.0192,0.0,0.0,0.0,0.0688,0.0304,0.024,0.0016,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.1824,0.0016,0.0,0.0,0.0,0.0
"X219675",0.0,0.002940999939979593,0.19614668987455736,0.20358922033491386,0.0,0.0,0.0017405918012124123,0.0006602244763219495,6.002040693835904e-05,0.0,0.00936318348238401,0.1301242422423624,0.007082408018726367,0.0006002040693835905,0.41594142008282814,0.0,0.0006002040693835905,0.0007802652901986675,0.0004801632555068723,0.0,0.0,0.0,0.0,0.004741612148130364,0.02130724446311746,0.00024008162775343615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008402856971370266,0.0,0.0,0.0,0.0,0.002640897905287798,0.00012004081387671808,0.0,0.0,0.0,0.0
"X219676",0.0,0.007708571931988371,0.29067923530966433,0.17372918685578362,0.0,4.404898246850498e-05,0.00048453880715355473,0.0,4.404898246850498e-05,0.0,0.02691392828825654,0.09686371244824245,0.02700202625319355,0.001761959298740199,0.34001409567438995,0.0,0.001761959298740199,0.002731036913047309,0.0014976654039291692,0.0,0.0,0.0,0.0,0.0034358206325433883,0.02087921769007136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008369306669015945,0.0,0.0,0.0,0.0,0.0036120165624174082,0.0,0.0,0.0,0.0,0.0
"X219691",0.0,0.0001807882367120646,0.8040858141496927,0.11805471857297818,0.0,0.0017476196215499577,6.02627455706882e-05,0.0006628902012775702,0.0,0.0,0.006207062793780885,0.007593105941906713,0.010244666747016995,0.0002410509822827528,0.0031336627696757864,0.0,0.0009642039291310112,0.0002410509822827528,0.0004218392189948174,0.0,0.0,0.0,0.0,0.0,0.000301313727853441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010244666747016994,0.0,0.0,0.0,0.0,6.02627455706882e-05,0.0007834156924189466,0.0,0.0,0.0,0.0,0.04399180426660239,0.0,0.0,0.0,0.0,0.0
"X219692",0.0,0.0,0.0,0.14166666666666666,0.0,0.175,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
