"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Thermoleophilia","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Coriobacteriia","Fibrobacteria","Deinococci","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Synergistia","Caldilineae","Planctomycetacia","Spartobacteria","OPB35_soil_group","Sphingobacteriia","Tectomicrobia(phylum)","Lentisphaeria","Subgroup_6","Nitrospira","Candidatus_Falkowbacteria","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Opitutae","Oligosphaeria","Chloroplast","Solibacteres","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206538",0.128801634135,0.180435769405,0.441783931003,0.0,0.00283704039946,0.146504766228,0.0,0.0,0.0139582387653,0.0285973672265,0.0,0.00601452564685,0.0400590104403,0.00136177939174,0.0,0.0,0.0,0.0,0.0,0.0,0.00794371311847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000226963231956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00147526100772,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.134986796458,0.185936933672,0.474343706312,0.0,0.00906125407756,0.130482058717,0.0,0.0,0.0117537410035,0.0131517630612,0.000258892973645,0.00724900326205,0.0242841609279,0.00274426552063,0.0,0.0,0.0,0.000569564542018,0.0,0.0,0.00481540930979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207114378916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155335784187,0.0,0.0,0.0
"X215050",0.0384517335146,0.430531951054,0.3775492862,0.0,0.0488613188307,0.0430404486744,0.0,0.0,0.0223062542488,0.0185673011557,0.0,0.00701053704963,0.0,0.00713800135962,0.0,0.0,0.0,0.0,0.0,0.0,0.00620326308634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339904826649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215023",0.156653509065,0.32391115274,0.408911487255,0.0,0.00123770656319,0.0863718471934,0.0,0.0,0.00314444370108,0.0156553154479,0.0,3.34515287349e-05,0.000267612229879,0.000301063758614,0.0,0.0,0.0,0.0,0.0,0.0,0.00351241051716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.000696378830084,0.448235840297,0.0127669452182,0.000464252553389,0.00116063138347,0.458217270195,0.0,0.0,0.0153203342618,0.0287836583101,0.0,0.019730733519,0.0111420612813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232126276695,0.0,0.0,0.0,0.0,0.000232126276695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232126276695,0.000696378830084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.000261506276151,0.435059274756,0.00950139470014,0.0149058577406,0.00392259414226,0.407775453278,0.0,0.0,0.0652894002789,0.0432357043236,0.0,0.0116806136681,0.00496861924686,0.000174337517434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322524407252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.0193017314789,0.589057621345,0.2870422935,0.0227079193869,7.0962248084e-05,0.00234175418677,0.0,0.0,0.00801873403349,0.0113539596934,0.0,0.00106443372126,0.0,0.000425773488504,0.0,0.0,0.0,0.0,0.0,0.0444933295487,0.0139086006245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141924496168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0962248084e-05,0.0,0.0,0.0
"X206561",0.0202525884629,0.528046421663,0.353737626579,0.0136534304244,0.00022755717374,0.00193423597679,0.0,0.0,0.00591648651724,0.0329957901923,0.0,0.00102400728183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01490499488,0.0273068608488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206564",0.0373009220453,0.561190276614,0.268231349539,0.0100586756077,0.0,0.0360435875943,0.0,0.0,0.0,0.00419111483655,0.0,0.00712489522213,0.00335289186924,0.00125733445096,0.0,0.0,0.0,0.0,0.0,0.0,0.0712489522213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.0500410653526,0.511498298721,0.208611991083,0.0882905080371,0.00967969024991,0.0173061128711,0.00035198873636,0.000410653525754,0.0242285580195,0.0080370761469,0.000586647893934,0.00463451836208,0.000469318315147,0.00035198873636,0.0,0.0,0.0018186084712,0.0,0.00117329578787,0.000586647893934,0.0458172005163,0.0,0.000293323946967,0.00457585357269,0.000879971840901,0.000586647893934,0.0,0.000410653525754,0.0,0.00164261410302,0.0,0.0,0.0152528452423,0.000117329578787,0.0,0.0,0.0,0.0,0.0,0.0,0.000645312683327,0.000234659157574,0.000997301419688,0.0,0.000469318315147,0.0
