"","Alphaproteobacteria","Betaproteobacteria","Bacteroidia","Clostridia","Actinobacteria","Gammaproteobacteria","Flavobacteriia","Sphingobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Deinococci","Coriobacteriia","Blastocatellia","Spirochaetes","Nitrospira","Deltaproteobacteria","WCHA1_57","Fusobacteriia","Proteobacteria_Incertae_Sedis","Synergistia","Spartobacteria","Epsilonproteobacteria","Acidimicrobiia","Methanobacteria","Chloroplast","Verrucomicrobiae","Cytophagia","Mollicutes","Elusimicrobia"
"X219638",0.0,0.0122773962195,0.0893454081323,0.804655685893,0.00583480216374,0.00097246702729,0.00334285540631,0.0,0.00346441378472,0.00486233513645,0.0511760773111,0.0,0.00680726919103,0.0,0.0,0.0,0.0108186956786,0.0,0.0064425940558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.00481000481,0.004329004329,0.289562289562,0.338624338624,0.0687830687831,0.024531024531,0.0,0.0,0.013468013468,0.018759018759,0.016835016835,0.0,0.010582010582,0.0,0.0,0.0,0.029341029341,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101,0.00577200577201,0.0,0.164502164502,0.0,0.0,0.0
"X219653",0.0,0.0359730848861,0.294875776398,0.456055900621,0.000931677018634,0.0443064182195,0.0,0.0,0.0116459627329,0.0295031055901,0.0266563146998,0.0,0.000724637681159,0.0,0.0,0.0,0.0133022774327,0.0,0.0212732919255,0.0,0.0,0.0,0.000569358178054,0.0,0.00900621118012,0.0,0.0551759834369,0.0,0.0,0.0
"X219654",0.000364542195759,0.0149462300261,0.174068898475,0.578042408409,0.0142779026672,0.0161613706787,0.00285558053345,0.0,0.0020657391093,0.0523725621241,0.010085667416,0.0,0.000911355489398,0.0,0.0,0.0,0.0178018105596,0.0,0.00528586183851,0.0,0.0,0.0,0.0,0.0,0.0133057901452,0.0,0.0974542803329,0.0,0.0,0.0
"X219693",0.0,0.000962000962001,0.0473785473785,0.823953823954,0.000721500721501,0.00601250601251,0.000962000962001,0.00012025012025,0.0488215488215,0.0208032708033,0.0220057720058,0.00012025012025,0.00276575276575,0.0,0.0,0.0,0.0253727753728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.0,0.016,0.0144,0.3664,0.0,0.4736,0.0,0.0,0.0704,0.0304,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0
"X219675",0.0,0.0242482444031,0.203589220335,0.196146689875,0.00126042854571,0.00522177540364,0.000660224476322,6.00204069384e-05,0.00996338755177,0.130124242242,0.00708240801873,0.0,0.000600204069384,0.000240081627753,0.0,0.0,0.00474161214813,0.0,0.415941420083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000120040813877,0.0,0.0,0.0
"X219676",0.0,0.0285877896221,0.173729186856,0.29067923531,0.00427275129944,0.00493348603647,0.0,4.40489824685e-05,0.028675887587,0.0968637124482,0.0270020262532,0.0,0.00176195929874,0.0,0.0,0.0,0.00343582063254,0.0,0.340014095674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219691",0.0,0.000482101964566,0.118054718573,0.80408581415,0.00241050982283,0.0448354827046,0.000662890201278,0.0,0.00644811377606,0.00759310594191,0.010244666747,0.0,0.000964203929131,0.0,0.0,0.0,0.0,0.0,0.00313366276968,0.0,0.0,0.0,6.02627455707e-05,0.0,0.0,0.0010244666747,0.0,0.0,0.0,0.0
"X219692",0.0,0.0,0.141666666667,0.0,0.3,0.0833333333333,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
