"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Spirochaetae","Cyanobacteria","Acidobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Verrucomicrobia","Tectomicrobia","Lentisphaerae","Parcubacteria","Euryarchaeota","Tenericutes","Elusimicrobia"
"X214995",0.0372523564938,0.454365863295,0.493255065756,0.011006378055,0.0,0.0040074504713,0.0,0.0,0.0,0.0,0.000112885928769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.0376569037657,0.432835820896,0.522887653781,0.00293511521888,0.0,0.00324736151877,0.0,0.0,0.0,0.000374695559858,0.0,0.0,0.0,0.0,0.0,6.24492599763e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X215075",0.0533657992188,0.487191193629,0.456703698067,0.0023842134632,0.0,0.000355095622178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215076",0.0599486585796,0.511350480697,0.425429103539,0.00266774047415,0.0,0.000604016711129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.0140480591497,0.844547134935,0.140418977203,0.000800985828712,0.0,0.000184842883549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.0195361145704,0.893135118306,0.0832814445828,0.00311332503113,0.0,0.00093399750934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.325,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.0240685589254,0.864158512125,0.0926882635386,0.0126420713548,0.0,0.0064425940558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.0630110630111,0.387686387686,0.289562289562,0.0894660894661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164502164502,0.0,0.0,0.0,0.00577200577201,0.0,0.0
"X219653",0.0941511387164,0.523861283644,0.294875776398,0.00165631469979,0.0,0.0212732919255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551759834369,0.0,0.0,0.0,0.00900621118012,0.0,0.0
"X219654",0.0492739534601,0.642566377058,0.176924479008,0.0151892581566,0.0,0.00528586183851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974542803329,0.0,0.0,0.0,0.0133057901452,0.0,0.0
"X219693",0.0323472823473,0.915584415584,0.0484607984608,0.00348725348725,0.0,0.0,0.00012025012025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.4896,0.4912,0.0144,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
"X219675",0.0342116319549,0.343316727687,0.204309465218,0.00186063261509,0.0,0.415941420083,0.0,0.0,0.0,0.0,0.000240081627753,0.0,0.0,0.0,0.0,0.000120040813877,0.0,0.0,0.0,0.0,0.0,0.0
"X219676",0.0369570962911,0.443220861598,0.173773235838,0.00603471059819,0.0,0.340014095674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219691",0.0453778474147,0.828371700615,0.118717608774,0.00337471375196,0.0,0.00313366276968,0.0,0.0,0.0,0.0010244666747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.0833333333333,0.0,0.216666666667,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
